participant,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7,pair_8,pair_9,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25,pair_26,pair_27,pair_28,pair_29
1,352,129,279,388,382,154,220,430,257,265,324,314,398,415,56,405,183,283,351,320,284,210,155,397,96,328,409,294,92
2,420,206,338,160,44,350,285,224,225,216,166,271,203,286,12,266,394,33,113,419,97,115,121,191,429,435,163,140,427
3,119,142,179,395,49,260,236,367,235,261,159,135,87,168,311,58,10,230,130,308,82,164,306,229,213,334,40,422,268
4,112,363,254,156,131,86,182,387,347,214,341,73,42,69,389,252,60,238,63,27,133,74,383,222,186,240,376,54,201
5,390,139,263,337,413,118,207,190,392,64,323,343,93,302,47,89,55,327,393,125,90,43,23,273,339,128,377,94,84
6,360,158,404,39,325,36,20,371,227,114,219,109,14,424,366,7,362,132,72,330,354,272,373,204,280,11,359,194,9
7,153,173,102,138,407,80,127,349,346,296,326,178,66,196,237,310,8,45,253,187,202,375,431,312,79,278,32,332,298
8,211,399,411,19,372,357,233,400,288,111,378,287,2,381,374,385,403,259,81,200,322,269,98,291,162,379,67,46,307
9,303,88,107,68,104,274,13,209,25,103,228,434,143,137,29,141,77,391,248,28,300,336,423,18,193,345,38,344,301
10,9,204,404,158,36,354,7,359,362,11,194,227,109,371,132,72,424,114,330,366,373,325,272,280,14,20,219,360,39
11,253,80,138,202,178,310,79,326,237,375,173,45,196,431,296,332,66,127,32,312,8,407,102,298,349,278,346,187,153
12,292,22,167,198,245,41,321,402,85,91,78,100,242,37,17,231,348,172,276,329,247,241,24,244,188,277,317,318,426
13,265,314,405,210,284,382,328,388,430,294,155,324,283,279,320,92,96,409,415,397,154,398,220,257,351,352,56,129,183
14,242,78,244,231,292,167,198,17,37,277,241,276,426,329,91,85,41,318,22,402,321,172,348,188,245,24,100,317,247
15,434,38,137,28,143,88,300,18,103,301,29,141,193,104,77,107,345,336,68,274,209,303,248,13,228,344,423,25,391
16,217,59,148,192,50,62,218,30,110,353,195,145,289,315,4,433,150,226,355,380,358,239,6,144,184,264,369,262,421
17,131,60,347,133,201,238,389,42,214,86,376,383,74,387,54,186,363,254,341,63,73,182,240,27,112,156,222,69,252
18,300,13,391,344,38,29,107,77,209,193,25,228,336,137,423,143,248,68,434,103,141,301,274,104,303,28,345,18,88
19,279,283,351,155,397,382,430,405,284,398,320,257,265,314,96,129,56,92,409,220,328,210,154,415,324,352,294,183,388
20,106,425,293,147,189,243,256,356,35,157,251,342,53,151,309,223,71,169,176,386,368,83,75,1,428,65,205,16,51
21,303,336,143,68,103,434,423,13,141,209,248,107,228,18,300,274,88,25,38,137,193,345,391,77,344,301,28,29,104
22,17,37,85,247,321,241,244,167,242,318,188,317,348,24,292,231,426,78,100,172,245,198,276,91,41,22,402,329,277
23,408,117,221,31,396,3,295,232,365,161,416,123,136,297,418,146,152,199,149,215,34,177,108,105,319,313,175,181,208
24,110,30,195,369,355,62,192,353,226,421,433,358,264,145,144,50,217,6,289,239,380,148,262,218,184,4,315,59,150
25,249,335,126,432,364,414,410,52,76,316,333,282,95,267,5,250,171,165,275,401,15,120,299,212,361,255,270,197,174
26,416,146,396,319,313,152,3,177,105,208,181,365,418,123,408,232,149,295,117,108,297,31,175,221,34,161,215,136,199
27,383,54,69,238,112,73,133,60,63,201,27,42,376,222,347,363,389,214,86,156,74,182,254,387,186,240,131,341,252
28,394,225,44,435,285,271,97,350,115,33,286,427,203,266,420,429,160,113,224,206,163,338,166,191,12,140,419,121,216
29,335,432,52,282,401,5,249,15,165,333,95,267,197,414,410,275,174,255,126,299,76,270,361,250,316,212,120,171,364
30,28,345,25,68,391,77,141,104,13,209,143,38,274,423,18,344,303,103,336,88,300,193,29,228,301,107,434,137,248
